,observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,lambda
1207,2018-11-13,2.38,2.53,2.72,2.89,2.95,2.99,3.07,3.14,3.299133698606425,-0.7789099900217673,0.31525768513027197,0.30303030303030304
1208,2018-11-14,2.38,2.52,2.71,2.86,2.92,2.95,3.04,3.12,3.329787696176279,-0.809513626860975,0.15333865901552524,0.30303030303030304
1209,2018-11-15,2.37,2.51,2.7,2.86,2.91,2.94,3.02,3.11,3.311735702981495,-0.7980371048145165,0.15488936271562537,0.30303030303030304
1210,2018-11-16,2.36,2.5,2.68,2.81,2.85,2.9,2.99,3.08,3.3503951195467727,-0.8490930228194873,-0.02874851519861199,0.30303030303030304
1211,2018-11-19,2.38,2.52,2.66,2.79,2.82,2.87,2.97,3.06,3.350399321032248,-0.8429413098883936,-0.11512620528272599,0.30303030303030304
1212,2018-11-20,2.39,2.51,2.67,2.79,2.83,2.88,2.97,3.06,3.355822924047414,-0.8414114494024978,-0.12916179648634318,0.30303030303030304
1213,2018-11-21,2.41,2.52,2.67,2.81,2.84,2.89,2.98,3.06,3.338882440336234,-0.8124531935998851,-0.0909093085162418,0.30303030303030304
1214,2018-11-23,2.41,2.52,2.67,2.81,2.83,2.88,2.97,3.05,3.3304580589005575,-0.8012648469788539,-0.11234226366109157,0.30303030303030304
1215,2018-11-26,2.41,2.54,2.7,2.84,2.86,2.9,2.98,3.07,3.3079517380832275,-0.7639847682853866,-0.022532257518175003,0.30303030303030304
1216,2018-11-27,2.41,2.53,2.7,2.83,2.86,2.89,2.98,3.06,3.304537645777823,-0.7626450562770342,-0.035447169975091786,0.30303030303030304
1217,2018-11-28,2.4,2.53,2.69,2.81,2.84,2.87,2.97,3.06,3.340059801784552,-0.8055023138384545,-0.12784022562364994,0.30303030303030304
1218,2018-11-29,2.37,2.52,2.69,2.81,2.83,2.85,2.94,3.03,3.2493873185254705,-0.7290498727912191,-0.009755296537587332,0.30303030303030304
1219,2018-11-30,2.37,2.52,2.7,2.8,2.83,2.84,2.92,3.01,3.1987594522643406,-0.6760993516512395,0.03487201941944085,0.30303030303030304
1220,2018-12-03,2.38,2.56,2.72,2.83,2.84,2.83,2.9,2.98,3.0535086359088366,-0.5120536154542876,0.24579062356758552,0.30303030303030304
1221,2018-12-04,2.42,2.58,2.71,2.8,2.81,2.79,2.84,2.91,2.92760025872356,-0.36954820999934346,0.28280767797564976,0.30303030303030304
1222,2018-12-06,2.41,2.56,2.7,2.75,2.76,2.75,2.8,2.87,2.934625537384129,-0.38667451349767257,0.13786443891439248,0.30303030303030304
1223,2018-12-07,2.4,2.54,2.68,2.72,2.72,2.7,2.77,2.85,2.987033967467516,-0.4456059094817313,-0.0700317147414875,0.30303030303030304
1224,2018-12-10,2.41,2.54,2.69,2.72,2.73,2.71,2.77,2.85,2.978868552718332,-0.4306770996663576,-0.05406094657272931,0.30303030303030304
1225,2018-12-11,2.41,2.55,2.7,2.78,2.78,2.75,2.81,2.89,2.970409983323152,-0.415198785543881,0.09760473968066308,0.30303030303030304
1226,2018-12-12,2.43,2.56,2.7,2.77,2.78,2.77,2.84,2.91,3.0389884405933127,-0.4780758663023523,0.020599935239743683,0.30303030303030304
1227,2018-12-13,2.43,2.56,2.69,2.75,2.76,2.75,2.83,2.91,3.086513234255401,-0.5271176945002296,-0.10588119984985367,0.30303030303030304
1228,2018-12-14,2.42,2.56,2.68,2.73,2.72,2.73,2.81,2.89,3.090780949556641,-0.5381504613934089,-0.18009873426662892,0.30303030303030304
1229,2018-12-17,2.4,2.54,2.66,2.7,2.68,2.69,2.77,2.86,3.0866936385348605,-0.5493241732012542,-0.27531324976780347,0.30303030303030304
1230,2018-12-18,2.39,2.53,2.64,2.65,2.64,2.65,2.74,2.82,3.0623498304364465,-0.5423424019469711,-0.329093038073224,0.30303030303030304
1231,2018-12-19,2.4,2.54,2.62,2.63,2.61,2.62,2.69,2.77,2.959618101959421,-0.4417226223228288,-0.2655354440948299,0.30303030303030304
1232,2018-12-20,2.39,2.55,2.64,2.67,2.65,2.65,2.72,2.79,2.9132117436713547,-0.39361257523363213,-0.0767801719038812,0.30303030303030304
1233,2018-12-21,2.39,2.54,2.62,2.63,2.61,2.64,2.72,2.79,3.002757993184253,-0.49387855118423896,-0.26764164246153466,0.30303030303030304
1234,2018-12-24,2.45,2.52,2.61,2.55,2.56,2.58,2.66,2.74,3.0824923224401215,-0.5465496660534324,-0.6715471958373633,0.30303030303030304
1235,2018-12-26,2.44,2.54,2.61,2.61,2.6,2.67,2.74,2.81,3.1196508193117154,-0.5941200384032114,-0.47075529269334243,0.30303030303030304
1236,2018-12-27,2.41,2.49,2.58,2.56,2.55,2.6,2.68,2.77,3.1501668759544708,-0.6471058179426328,-0.6896646629701111,0.30303030303030304
1237,2018-12-28,2.4,2.48,2.57,2.52,2.5,2.56,2.63,2.72,3.1058094407605905,-0.6113726980662126,-0.7533431434102905,0.30303030303030304
1238,2018-12-31,2.45,2.56,2.63,2.48,2.46,2.51,2.59,2.69,3.112042529363809,-0.5578337146548812,-0.9796629275197154,0.30303030303030304
1239,2019-01-02,2.42,2.51,2.6,2.5,2.47,2.49,2.56,2.66,3.0178802091425325,-0.48901325152253305,-0.8361956525000823,0.30303030303030304
1240,2019-01-03,2.41,2.47,2.5,2.39,2.35,2.37,2.44,2.56,2.9900243082805176,-0.5034384154649904,-1.1078726018214446,0.30303030303030304
1241,2019-01-04,2.42,2.51,2.57,2.5,2.47,2.49,2.56,2.67,3.0290769607724837,-0.5122199876885574,-0.8259275897355485,0.30303030303030304
1242,2019-01-07,2.45,2.54,2.58,2.53,2.51,2.53,2.6,2.7,3.0253961715242723,-0.4922394317596275,-0.7148027219761937,0.30303030303030304
1243,2019-01-08,2.46,2.54,2.6,2.58,2.57,2.58,2.63,2.73,2.9906067726306977,-0.44690349800640017,-0.5311954993852757,0.30303030303030304
1244,2019-01-09,2.45,2.52,2.59,2.56,2.54,2.57,2.64,2.74,3.1000251116106456,-0.563710807103615,-0.7412285067311863,0.30303030303030304
1245,2019-01-10,2.43,2.51,2.59,2.56,2.54,2.56,2.63,2.74,3.0942955911468726,-0.5665094968006905,-0.7341245700213097,0.30303030303030304
1246,2019-01-11,2.43,2.5,2.58,2.55,2.51,2.52,2.6,2.71,3.089168493659848,-0.557996366691313,-0.8410543123582919,0.30303030303030304
1247,2019-01-14,2.45,2.52,2.57,2.53,2.51,2.53,2.6,2.71,3.076134411292388,-0.5454290066851349,-0.8045315518661371,0.30303030303030304
1248,2019-01-15,2.45,2.52,2.57,2.53,2.51,2.53,2.61,2.72,3.110908487045179,-0.5793231317828611,-0.8531493459005758,0.30303030303030304
1249,2019-01-16,2.43,2.49,2.57,2.55,2.53,2.54,2.62,2.73,3.113424528349749,-0.5921795205678304,-0.8082026380609254,0.30303030303030304
1250,2019-01-17,2.42,2.5,2.57,2.56,2.55,2.58,2.66,2.75,3.092288598926213,-0.5858686304251952,-0.6364700841852569,0.30303030303030304
1251,2019-01-18,2.41,2.5,2.6,2.62,2.6,2.62,2.7,2.79,3.097779748673915,-0.580789537774064,-0.5207066022625388,0.30303030303030304
1252,2019-01-22,2.43,2.51,2.59,2.58,2.55,2.57,2.65,2.74,3.071971112899383,-0.5444911324918682,-0.6566121237907443,0.30303030303030304
1253,2019-01-23,2.41,2.51,2.59,2.58,2.57,2.59,2.66,2.76,3.05978227810886,-0.5485885517317273,-0.5466600780423381,0.30303030303030304
1254,2019-01-24,2.37,2.5,2.58,2.56,2.54,2.55,2.62,2.72,2.974890169850502,-0.48700935251317845,-0.47126032651684535,0.30303030303030304
1255,2019-01-25,2.39,2.51,2.6,2.6,2.58,2.59,2.66,2.76,3.019288608799035,-0.5116522164503758,-0.45311932135256283,0.30303030303030304
1256,2019-01-28,2.42,2.51,2.6,2.6,2.58,2.58,2.65,2.75,3.030241456274006,-0.5039907808581997,-0.5367414788005144,0.30303030303030304
1257,2019-01-29,2.42,2.51,2.6,2.56,2.54,2.55,2.61,2.72,3.0286454187283516,-0.5018080285733557,-0.6527684147178778,0.30303030303030304
1258,2019-01-30,2.42,2.5,2.57,2.52,2.49,2.49,2.58,2.7,3.102655259658482,-0.5802048661899505,-0.9174460390217567,0.30303030303030304
1259,2019-01-31,2.41,2.46,2.55,2.45,2.43,2.43,2.51,2.63,3.06846266889619,-0.5623717579343989,-1.0618644585383494,0.30303030303030304
1260,2019-02-01,2.4,2.46,2.56,2.52,2.5,2.51,2.59,2.7,3.095787856834986,-0.5953643539414579,-0.8481865397560597,0.30303030303030304
1261,2019-02-04,2.42,2.49,2.57,2.53,2.52,2.53,2.62,2.73,3.133810943754502,-0.6198335210020105,-0.8494467999721032,0.30303030303030304
1262,2019-02-05,2.42,2.5,2.56,2.53,2.5,2.51,2.6,2.71,3.097191493601855,-0.5824654570413093,-0.842314388689763,0.30303030303030304
1263,2019-02-06,2.42,2.5,2.56,2.52,2.5,2.5,2.59,2.7,3.075156108541985,-0.5618167061675688,-0.8263130608080346,0.30303030303030304
1264,2019-02-07,2.42,2.49,2.55,2.48,2.46,2.46,2.54,2.65,3.026170634911141,-0.5172413644735679,-0.8840045972354511,0.30303030303030304
1265,2019-02-08,2.43,2.49,2.54,2.45,2.43,2.44,2.53,2.63,3.0458648927745866,-0.5370929570449954,-0.9878738703820636,0.30303030303030304
1266,2019-02-11,2.45,2.51,2.55,2.48,2.47,2.47,2.56,2.65,3.018715318509611,-0.49811153094573174,-0.8540250414234608,0.30303030303030304
1267,2019-02-12,2.43,2.5,2.55,2.5,2.48,2.49,2.58,2.68,3.0654809303937274,-0.5533960652653194,-0.8574907195032779,0.30303030303030304
1268,2019-02-13,2.44,2.51,2.55,2.53,2.52,2.53,2.61,2.71,3.0537590300895703,-0.5403418212491091,-0.719300719948581,0.30303030303030304
1269,2019-02-14,2.43,2.51,2.53,2.5,2.48,2.48,2.56,2.66,2.979699471129443,-0.4767030331811497,-0.7202406499128002,0.30303030303030304
1270,2019-02-15,2.43,2.5,2.55,2.52,2.5,2.49,2.57,2.66,2.9616642606856596,-0.45033144890970056,-0.6737333209828902,0.30303030303030304
1271,2019-02-19,2.45,2.52,2.54,2.5,2.47,2.47,2.55,2.65,2.9878729126014383,-0.4660772080227691,-0.7998351473056065,0.30303030303030304
1272,2019-02-20,2.45,2.51,2.54,2.5,2.47,2.47,2.55,2.65,3.001462032829127,-0.4794762452283988,-0.829841732178937,0.30303030303030304
1273,2019-02-21,2.45,2.51,2.55,2.53,2.49,2.51,2.59,2.69,3.0655435567523033,-0.5391764708005382,-0.8363296784486376,0.30303030303030304
1274,2019-02-22,2.46,2.51,2.55,2.48,2.46,2.47,2.55,2.65,3.0423164586804616,-0.5134129031535347,-0.9292784434400503,0.30303030303030304
1275,2019-02-25,2.47,2.51,2.56,2.51,2.48,2.48,2.57,2.67,3.078009358659631,-0.5345462471693687,-0.9625457623556855,0.30303030303030304
1276,2019-02-26,2.45,2.51,2.55,2.48,2.44,2.45,2.54,2.64,3.0482390846281295,-0.5187457191334048,-0.9866739710219892,0.30303030303030304
1277,2019-02-27,2.45,2.52,2.54,2.5,2.48,2.49,2.59,2.69,3.0909006040159595,-0.5712690349521357,-0.8942800521055452,0.30303030303030304
1278,2019-02-28,2.45,2.5,2.54,2.52,2.5,2.52,2.63,2.73,3.1887173309035184,-0.6694202358305866,-0.9734055474399539,0.30303030303030304
1279,2019-03-01,2.44,2.52,2.55,2.55,2.54,2.56,2.67,2.76,3.1506149958892418,-0.6381003349587471,-0.7559346955698552,0.30303030303030304
1280,2019-03-04,2.46,2.54,2.54,2.55,2.52,2.53,2.63,2.72,3.0645826687286064,-0.5395931945027018,-0.7197122307801224,0.30303030303030304
1281,2019-03-05,2.46,2.53,2.54,2.55,2.52,2.53,2.63,2.72,3.078171614425632,-0.5529920804246478,-0.7497184378894195,0.30303030303030304
1282,2019-03-06,2.47,2.53,2.54,2.52,2.49,2.49,2.59,2.69,3.078646881982631,-0.5440796828542817,-0.8870934784955309,0.30303030303030304
1283,2019-03-07,2.45,2.52,2.52,2.47,2.44,2.44,2.54,2.64,3.0288437574627123,-0.5138148838927507,-0.9293082185243026,0.30303030303030304
1284,2019-03-08,2.46,2.52,2.53,2.45,2.43,2.42,2.51,2.62,3.0145556149154005,-0.4894110085647526,-0.9925505655111106,0.30303030303030304
1285,2019-03-11,2.46,2.54,2.53,2.47,2.45,2.44,2.53,2.64,2.9981869576768907,-0.4738569828265863,-0.8843904051358005,0.30303030303030304
1286,2019-03-12,2.46,2.53,2.52,2.45,2.41,2.41,2.5,2.61,3.0029911434257044,-0.4782580176058526,-1.0040600422140384,0.30303030303030304
1287,2019-03-13,2.45,2.53,2.53,2.45,2.41,2.42,2.51,2.61,2.9924836186223756,-0.47189714487250395,-0.9588984470616096,0.30303030303030304
1288,2019-03-14,2.45,2.52,2.52,2.46,2.42,2.43,2.53,2.63,3.0400696733686337,-0.5232196844407354,-0.9934567890953484,0.30303030303030304
1289,2019-03-15,2.45,2.52,2.52,2.43,2.39,2.4,2.49,2.59,2.989081445780945,-0.47245966019307495,-1.017060034231005,0.30303030303030304
1290,2019-03-18,2.44,2.51,2.52,2.45,2.41,2.42,2.51,2.6,2.9717355223229167,-0.46293399401015745,-0.9151231657747944,0.30303030303030304
1291,2019-03-19,2.46,2.52,2.5,2.46,2.42,2.42,2.51,2.61,2.979879825716893,-0.46611013189074635,-0.9203010714865576,0.30303030303030304
1292,2019-03-20,2.48,2.49,2.47,2.4,2.34,2.34,2.44,2.54,3.0116042931718874,-0.491684626810887,-1.2544464435378042,0.30303030303030304
1293,2019-03-21,2.49,2.5,2.48,2.41,2.34,2.34,2.44,2.54,3.013179916126709,-0.48049628516816856,-1.275879404267063,0.30303030303030304
1294,2019-03-22,2.46,2.48,2.45,2.31,2.24,2.24,2.34,2.44,2.9317577753840007,-0.4277435051412697,-1.4143884974460392,0.30303030303030304
1295,2019-03-25,2.46,2.49,2.41,2.26,2.19,2.21,2.32,2.43,2.981044617483729,-0.4941736146991831,-1.5603927346003665,0.30303030303030304
1296,2019-03-26,2.46,2.49,2.44,2.24,2.18,2.18,2.29,2.41,2.976836350444621,-0.4744491253642294,-1.6595070196596478,0.30303030303030304
1297,2019-03-27,2.44,2.46,2.4,2.22,2.16,2.18,2.28,2.39,2.9436561720637373,-0.47521527431287675,-1.5884876533084076,0.30303030303030304
1298,2019-03-28,2.43,2.44,2.4,2.23,2.18,2.2,2.29,2.39,2.908144871948091,-0.4507608282510942,-1.4705801097939948,0.30303030303030304
1299,2019-03-29,2.4,2.44,2.4,2.27,2.21,2.23,2.31,2.41,2.850557211806634,-0.4096123589447582,-1.2448360131213336,0.30303030303030304
1300,2019-04-01,2.43,2.46,2.41,2.33,2.29,2.31,2.4,2.49,2.919878107535876,-0.46497916337884004,-1.118681467576304,0.30303030303030304
1301,2019-04-02,2.42,2.45,2.41,2.3,2.26,2.28,2.38,2.48,2.9697662402318317,-0.5172058343550412,-1.2851465270652382,0.30303030303030304
1302,2019-04-03,2.44,2.45,2.41,2.33,2.29,2.32,2.42,2.52,3.0350407505832746,-0.5726560309238229,-1.299743789757886,0.30303030303030304
1303,2019-04-04,2.44,2.46,2.41,2.33,2.29,2.32,2.41,2.51,2.986677752303942,-0.5253630387769013,-1.2211198472968277,0.30303030303030304
1304,2019-04-05,2.44,2.46,2.43,2.35,2.3,2.31,2.4,2.5,2.95131589031915,-0.4761730550949892,-1.1971049802585065,0.30303030303030304
1305,2019-04-08,2.43,2.48,2.43,2.36,2.31,2.33,2.42,2.52,2.942594942387605,-0.4750276485214915,-1.0975724596587408,0.30303030303030304
1306,2019-04-09,2.42,2.46,2.42,2.35,2.31,2.31,2.4,2.51,2.9342400925141527,-0.475168750913479,-1.1185698083320017,0.30303030303030304
1307,2019-04-10,2.43,2.46,2.41,2.31,2.27,2.28,2.37,2.48,2.9434971450992373,-0.483488096852303,-1.2476024376733896,0.30303030303030304
1308,2019-04-11,2.43,2.46,2.44,2.35,2.3,2.31,2.4,2.51,2.9752366796284244,-0.4995649008221705,-1.2327166964814011,0.30303030303030304
1309,2019-04-12,2.44,2.47,2.44,2.4,2.36,2.38,2.47,2.56,2.974669767034892,-0.501895800493836,-1.0142234204955534,0.30303030303030304
1310,2019-04-15,2.43,2.46,2.43,2.4,2.36,2.37,2.46,2.55,2.945019317449735,-0.4813025238998925,-0.9715074654817724,0.30303030303030304
1311,2019-04-16,2.43,2.47,2.45,2.41,2.38,2.41,2.5,2.6,3.0374747297800635,-0.5683131137600947,-1.0229705998637122,0.30303030303030304
1312,2019-04-17,2.44,2.47,2.44,2.4,2.37,2.4,2.49,2.59,3.037891105209987,-0.5672834082475908,-1.0611406517110338,0.30303030303030304
1313,2019-04-18,2.42,2.47,2.44,2.38,2.36,2.38,2.46,2.57,2.9814133372865936,-0.522733361830676,-1.002126707366307,0.30303030303030304
1314,2019-04-22,2.44,2.47,2.46,2.38,2.36,2.39,2.49,2.59,3.082643462381344,-0.6043067921987496,-1.1764567426569343,0.30303030303030304
1315,2019-04-23,2.45,2.46,2.43,2.36,2.34,2.36,2.46,2.57,3.0835672918222676,-0.6096378986829392,-1.2597882383508272,0.30303030303030304
1316,2019-04-24,2.44,2.46,2.42,2.32,2.28,2.32,2.41,2.53,3.0719933544735456,-0.6035167009189716,-1.3832433435300886,0.30303030303030304
1317,2019-04-25,2.43,2.46,2.42,2.33,2.29,2.33,2.42,2.54,3.0653954736898252,-0.602954126210298,-1.325081686270783,0.30303030303030304
1318,2019-04-26,2.42,2.46,2.41,2.28,2.25,2.29,2.39,2.51,3.063386063951983,-0.6121498171607858,-1.4185548674154635,0.30303030303030304
1319,2019-04-29,2.44,2.47,2.42,2.3,2.27,2.32,2.42,2.54,3.1158485483378597,-0.6501715565841696,-1.447211488312951,0.30303030303030304
1320,2019-04-30,2.43,2.46,2.39,2.27,2.24,2.28,2.39,2.51,3.0923948234666865,-0.6434217955826806,-1.4853507048080699,0.30303030303030304
1321,2019-05-01,2.43,2.44,2.39,2.31,2.28,2.31,2.41,2.52,3.0516206231072642,-0.6046140927680477,-1.3321006308763175,0.30303030303030304
1322,2019-05-02,2.47,2.46,2.41,2.35,2.32,2.34,2.44,2.55,3.0813802187780315,-0.6020119674551893,-1.3334872801934774,0.30303030303030304
